value,description,altLabels
3D-Animationstechniker,"3D-Animationstechniker/3D-Animationstechnikerinnen sind für die Animation von 3D-Modellen von Gegenständen, virtuellen Umgebungen, Anlagen und Figuren und von Software-Agenten in 3D zuständig.",3D-Animator|3D-Animationstechnikerin
3D-Animationstechnikerin,"3D-Animationstechniker/3D-Animationstechnikerinnen sind für die Animation von 3D-Modellen von Gegenständen, virtuellen Umgebungen, Anlagen und Figuren und von Software-Agenten in 3D zuständig.",3D-Animator|3D-Animationstechniker
3D-Artist,"3D-Artisten/3D-Artistinnen sind für die Animation von 3D-Modellen von Gegenständen, virtuellen Umgebungen, Anlagen und Figuren und von Software-Agenten in 3D zuständig.",3D-Artisten|3D-Modelliererin|3D-Modellierer|3D-Artistin
3D-Artistin,"3D-Artisten/3D-Artistinnen sind für die Animation von 3D-Modellen von Gegenständen, virtuellen Umgebungen, Anlagen und Figuren und von Software-Agenten in 3D zuständig.",3D-Artisten|3D-Modelliererin|3D-Artist|3D-Modellierer
3D-Druck-Techniker,"3D-Druck-Techniker wirken unterstützend an den Entwurfs- und Programmierungsprozessen für Produkte aller Art mit, von Prothesen bis hin zu 3D-Modellen. Außerdem warten sie bisweilen 3D-Drucker, prüfen 3D-Drucke für Kunden und führen Testläufe durch. 3D-Drucker-Techniker können 3D-Drucker auch reparieren, instand halten und reinigen.",Techniker 3D-Druck|3D-Druck-Technikerin|Technikerin 3D-Druck
3D-Druck-Technikerin,"3D-Druck-Techniker wirken unterstützend an den Entwurfs- und Programmierungsprozessen für Produkte aller Art mit, von Prothesen bis hin zu 3D-Modellen. Außerdem warten sie bisweilen 3D-Drucker, prüfen 3D-Drucke für Kunden und führen Testläufe durch. 3D-Drucker-Techniker können 3D-Drucker auch reparieren, instand halten und reinigen.",3D-Druck-Techniker|Techniker 3D-Druck|Technikerin 3D-Druck
3D-Produktentwickler für Schuhe,"3D-Produktentwickler/innen für Schuhe entwerfen Schuhmodelle, fertigen Muster an, passen sie an und ändern sie mithilfe computergestützter Designsysteme. Sie konzentrieren sich auf die nachhaltige Gestaltung des Modells, die Auswahl und Gestaltung von Leisten und Bauteilen, den richtigen und effizienten Einsatz von Materialien, die Modellgestaltung, die Auswahl des Schuhsohlenbodens und die Ausarbeitung von technischen Datenblättern. Sie überwachen bisweilen die Entwicklung und Bewertung von Prototypen, die Vorbereitung von Mustern, die Durchführung der erforderlichen Qualitätskontrolltests an den Mustern und die Verwaltung der technischen Dokumentation des Produkts.",3D-Computer-Aided-Design-Entwicklerin für Schuhe|3D-Schuhentwicklerin|3D-Computer-Aided-Design-Entwickler für Schuhe|3D-Schuhproduktdesigner und -entwickler|3D-Schuhproduktdesignerin und -entwicklerin|3D-Produktentwicklerin Schuhe|3D-Schuhexperte|3D-Schuhentwickler|3D-Schuhexpertin|3D-Produktentwickler Schuhe
3D-Produktentwicklerin für Schuhe,"3D-Produktentwickler/innen für Schuhe entwerfen Schuhmodelle, fertigen Muster an, passen sie an und ändern sie mithilfe computergestützter Designsysteme. Sie konzentrieren sich auf die nachhaltige Gestaltung des Modells, die Auswahl und Gestaltung von Leisten und Bauteilen, den richtigen und effizienten Einsatz von Materialien, die Modellgestaltung, die Auswahl des Schuhsohlenbodens und die Ausarbeitung von technischen Datenblättern. Sie überwachen bisweilen die Entwicklung und Bewertung von Prototypen, die Vorbereitung von Mustern, die Durchführung der erforderlichen Qualitätskontrolltests an den Mustern und die Verwaltung der technischen Dokumentation des Produkts.",3D-Computer-Aided-Design-Entwicklerin für Schuhe|3D-Schuhentwicklerin|3D-Computer-Aided-Design-Entwickler für Schuhe|3D-Schuhproduktdesigner und -entwickler|3D-Schuhproduktdesignerin und -entwicklerin|3D-Produktentwicklerin Schuhe|3D-Schuhexperte|3D-Schuhentwickler|3D-Schuhexpertin|3D-Produktentwickler Schuhe
Abfallbeauftragte,"Abfallbeauftragte beraten zu Abfallverwertungsanlagen, Müllabfuhr und Recycling und setzen diesbezügliche Vorschriften durch. Sie erarbeiten und implementieren Vorschriften und beurteilen die Einhaltung bestehender Rechtsvorschriften.",Abfallbeauftragter
Abfallbeauftragter,"Abfallbeauftragte beraten zu Abfallverwertungsanlagen, Müllabfuhr und Recycling und setzen diesbezügliche Vorschriften durch. Sie erarbeiten und implementieren Vorschriften und beurteilen die Einhaltung bestehender Rechtsvorschriften.",Abfallbeauftragte
